"OriginalPath","QuarantinePath","Length","LastWriteTime","CleanupTimestamp","Status"
"C:\Users\labuser\AppData\Local\Temp\2\cv_debug.log","C:\Users\labuser\Documents\Training\day3\cleanup-quarantine\20260805-052100\000003_cv_debug.log","122","2026-08-05T04:14:05.3980226+00:00","2026-08-05T05:21:00.3185744+00:00","MovedToQuarantine"
"C:\Users\labuser\AppData\Local\Temp\2\exthost-0bc825.cpuprofile","C:\Users\labuser\Documents\Training\day3\cleanup-quarantine\20260805-052100\000006_exthost-0bc825.cpuprofile","176093","2026-08-05T03:53:16.6341225+00:00","2026-08-05T05:21:00.3185744+00:00","MovedToQuarantine"
"C:\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\dicts.dat","C:\Users\labuser\Documents\Training\day3\cleanup-quarantine\20260805-052100\000007_dicts.dat","10","2026-08-05T03:52:28.5167027+00:00","2026-08-05T05:21:00.3185744+00:00","MovedToQuarantine"
"C:\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\__init__.py","C:\Users\labuser\Documents\Training\day3\cleanup-quarantine\20260805-052100\000008___init__.py","176","2026-08-05T03:52:28.5167027+00:00","2026-08-05T05:21:00.3185744+00:00","MovedToQuarantine"
